Mogoeng ordered to issue an unconditional apology for his pro-Israel comments,"21 January 2022, 6:05 AM"
SA BDS Coalition to continue pursuing Chief Justice Mogoeng for his Israel comments,"10 October 2021, 9:49 PM"
Israel’s new Prime Minister affirms efficacy of third coronavirus booster shot,"27 September 2021, 9:09 PM"
Israel strikes Gaza in retaliation for rocket fire: military,"12 September 2021, 7:41 AM"
SA decries AU Commission decision to grant Israel observer status in the union,"28 July 2021, 10:34 AM"
Former centre-left politician Herzog elected Israel’s president,"2 June 2021, 2:39 PM"
Growing calls for SA to close the Israel embassy in Pretoria,"30 May 2021, 1:30 PM"
UN rights chief says Israeli strikes on Gaza may be war crimes,"27 May 2021, 3:20 PM"
ANC to hold solidarity picket in support of the people of Palestine,"25 May 2021, 7:00 AM"
Pro-Palestine supporters take part in solidarity picket at Sea Point in Cape Town,"23 May 2021, 3:09 PM"
Durban dock workers boycott offloading of Israeli vessels in KZN,"21 May 2021, 10:42 AM"
"SASCO, SACP youth call for immediate closure of Israel Embassy","20 May 2021, 8:01 PM"
Israeli air strikes hit Gaza as fighting enters second week,"17 May 2021, 2:23 PM"
Israel bombs Hamas Gaza chief’s home as fighting enters seventh day,"16 May 2021, 9:39 AM"
ICC prosecutor warns against crimes in escalating Israeli-Palestinian violence,"14 May 2021, 1:05 PM"
Kenyan police disperse protesters demonstrating against Israeli attacks on Gaza,"13 May 2021, 4:22 PM"
AU expresses solidarity with Palestine as violence escalates in Gaza,"12 May 2021, 3:34 PM"
MJC urges all political parties to support Palestine,"12 May 2021, 12:22 PM"
Protests across South Africa in condemnation of Israel’s attacks on Palestinians in Gaza,"11 May 2021, 12:37 PM"
"Israeli police, Palestinians clash at Jerusalem’s Al-Aqsa, scores injured","8 May 2021, 7:59 AM"
Israeli authorities commit apartheid crimes: HRW report,"28 April 2021, 7:24 AM"
Chief Justice Mogoeng to appeal JCC ruling that he apologise for Israel comments,"14 March 2021, 4:15 PM"
Chief Justice Mogoeng ordered to issue apology and retraction for pro-Israeli utterances,"4 March 2021, 9:31 PM"
Israel to vaccinate Palestinian labourers against COVID-19,"28 February 2021, 8:13 PM"
Africa for Palestine to lodge complaint against Chief Justice Mogoeng with Judicial Service Commission,"11 December 2020, 8:30 PM"
"Bahrain open to imports from Israeli settlements, Palestinians fume","3 December 2020, 3:39 PM"
"As Arab Gulf starts opening to Israel, Palestinians face a reckoning","15 September 2020, 4:01 PM"
Stop or suspend West Bank annexation? Devil in the detail for Israel-UAE deal,"2 September 2020, 8:11 PM"
Israel’s move to take Palestinian territory is a ‘declaration of war’: Kathrada Foundation,"1 July 2020, 5:55 PM"
Open letter to Chief Justice Mogoeng on his utterances on Israel,"28 June 2020, 4:08 PM"
Chief Justice Mogoeng faces mounting backlash over Israel remarks,"27 June 2020, 9:40 PM"
ANC concerned about Chief Justice Mogoeng’s Israel remarks,"25 June 2020, 9:50 PM"
Netanyahu and rival Gantz clinch Israel power-sharing deal,"21 April 2020, 4:18 AM"
Palestine’s Abbas rejects Middle East Peace Plan,"11 February 2020, 10:31 PM"
SA condemns US declaration on Israel’s occupation of West Bank,"20 November 2019, 9:01 PM"
Palestinian app helps drivers avoid Israeli checkpoint bottlenecks,"5 August 2019, 11:57 AM"
Israel prepares to demolish homes on Jerusalem outskirts,"22 July 2019, 5:49 AM"
Egypt security in talks with Palestine leaders to prevent tensions,"14 July 2019, 3:31 PM"
Israel frees Palestinian minister,"30 June 2019, 3:42 PM"
Hamas rejects Bahrain conference that ‘normalises’ Israel ties,"20 June 2019, 5:01 PM"
UN rights forum condemns Israel over deadly Gaza protests,"22 March 2019, 2:05 PM"
Israeli killed in West Bank ‘terrorist’ attack: army,"17 March 2019, 4:13 PM"
US set to downgrade diplomatic mission to Palestine,"4 March 2019, 10:45 AM"
Palestine takes over as Chair of G77 plus China,"15 January 2019, 9:13 PM"
Australia recognises west Jerusalem as capital of Israel,"15 December 2018, 11:12 AM"
Trump peace plan a waste of time: Israel,"21 November 2018, 4:24 PM"
"Avnery, Israeli peace activist who met Arafat, dies aged 94","20 August 2018, 4:16 PM"
US quits UN human rights body citing bias towards Israel,"20 June 2018, 6:15 AM"
"Israel, Gaza exchange fire after Palestinian woman killed at border","3 June 2018, 7:41 AM"
